BABA.K,BABA
CVE,CVE
CCK,CCK
DT,DT
SNP,SNP
FBHS.K,FBHS
NI_pb,NI$B
LB,LB
PHM,PHM
EVRG.K,EVRG
IHG,IHG
FDS,FDS
FSLY.K,FSLY
WPC,WPC
WHR,WHR
GGG,GGG
NLY,NLY
CNP,CNP
ENIA.K,ENIA
WTRG.K,WTRG
ELS,ELS
BFa,BF.A
BAH,BAH
UDR,UDR
DVN,DVN
WRB,WRB
LW,LW
SPCE.K,SPCE
ATO,ATO
FNF,FNF
HWM,HWM
EQH,EQH
TREX.K,TREX
BILL.K,BILL
RPM,RPM
DAR,DAR
WRK,WRK
UHS,UHS
XPO,XPO
CNA,CNA
MTN,MTN
SKLZ.K,SKLZ
PLAN.K,PLAN
LII,LII
KL,KL
PWR,PWR
TXT,TXT
DNB,DNB
AAP,AAP
NRG,NRG
SBSW.K,SBSW
WLK,WLK
MHK,MHK
MOS,MOS
TTC,TTC
BCH,BCH
ALLE.K,ALLE
VST,VST
FND,FND
AQN,AQN
CPT,CPT
RDY,RDY
BWA,BWA
GWRE.K,GWRE
BSAC.K,BSAC
IVZ,IVZ
AMH,AMH
IPG,IPG
RH,RH
TAP,TAP
AU,AU
BG,BG
GL,GL
SNA,SNA
BFAM.K,BFAM
TECK.K,TECK
WSM,WSM
GFL,GFL
BHC,BHC
LEA,LEA
CX,CX
TS,TS
WU,WU
MMP,MMP
CF,CF
TPR,TPR
IRM,IRM
AOS,AOS
DLB,DLB
MNSO.K,MNSO
LNC,LNC
PNR,PNR
PEN,PEN
ARMK.K,ARMK
SMAR.K,SMAR
HEIa,HEI.A
LAD,LAD
ATR,ATR
KGC,KGC
OC,OC
SCI,SCI
VEDL.K,VEDL
AGCO.K,AGCO
DECK.K,DECK
CCIV_u.K,CCIV.U
WEX,WEX
PNW,PNW
OCFT.K,OCFT
AYX,AYX
NI,NI
HUBB.K,HUBB
LMND.K,LMND
RE,RE
LSPD.K,LSPD
SJR,SJR
ST,ST
NYT,NYT
AEG,AEG
OHI,OHI
STOR.K,STOR
CMA,CMA
CCIV.K,CCIV
CIEN.K,CIEN
Y,Y
AMWL.K,AMWL
FVRR.K,FVRR
GLOB.K,GLOB
CHE,CHE
AFG,AFG
ATH,ATH
GFI,GFI
EHC,EHC
