RNR_pf,RNR$F
AIZ,AIZ
HWM,HWM
ATR,ATR
COG,COG
GPS,GPS
DLB,DLB
EBR,EBR
ACI,ACI
GLOB.K,GLOB
OC,OC
DECK.K,DECK
BSAC.K,BSAC
GRUB.K,GRUB
HLF,HLF
IPG,IPG
MBT,MBT
DAR,DAR
RH,RH
ARMK.K,ARMK
ACM,ACM
UGI,UGI
SNX,SNX
MOS,MOS
ST,ST
CGC,CGC
JNPR.K,JNPR
RS,RS
EV,EV
NYT,NYT
AMWL.K,AMWL
OHI,OHI
SWI,SWI
RBA,RBA
ALV,ALV
MHK,MHK
VER,VER
AFG,AFG
G,G
RGA,RGA
STOR.K,STOR
TAP,TAP
KNX,KNX
CUBE.K,CUBE
CSL,CSL
TECK.K,TECK
SC,SC
SEE,SEE
EHC,EHC
SMAR.K,SMAR
LNC,LNC
LEVI.K,LEVI
TMX,TMX
OGE,OGE
GFL,GFL
LAD,LAD
BERY.K,BERY
IVZ,IVZ
HRC,HRC
VOYA.K,VOYA
CLGX.K,CLGX
ATH,ATH
DCI,DCI
BHC,BHC
ARW,ARW
CX,CX
CIEN.K,CIEN
PHI,PHI
PTR,PTR
TPR,TPR
WEX,WEX
POST.K,POST
CMA,CMA
AXTA.K,AXTA
REXR.K,REXR
PRGO.K,PRGO
VNO,VNO
VRT,VRT
MNSO.K,MNSO
HBI,HBI
HII,HII
AGCO.K,AGCO
PII,PII
HEI,HEI
WF,WF
FVRR.K,FVRR
TOL,TOL
SITE.K,SITE
RHI,RHI
TS,TS
FHN,FHN
NNN,NNN
CF,CF
TTM,TTM
BJ,BJ
RL,RL
PSXP.K,PSXP
WFC_pl,WFC$L
LEG,LEG
AZEK.K,AZEK
AEG,AEG
KRC,KRC
LSI,LSI
H,H
ADT,ADT
BLD,BLD
HUN,HUN
MSA,MSA
SKX,SKX
ITT,ITT
JLL,JLL
EGP,EGP
HAE,HAE
HOG,HOG
HTA,HTA
ELC,ELC
FRT,FRT
TIMB.K,TIMB
SBS,SBS
FR,FR
PLNT.K,PLNT
BWXT.K,BWXT
FAF,FAF
BC,BC
NVRO.K,NVRO
COR,COR
AUY,AUY
VEDL.K,VEDL
FLO,FLO
AN,AN
MPLN.K,MPLN
DKS,DKS
CACI.K,CACI
HESM.K,HESM
NLSN.K,NLSN
PB,PB
ACC,ACC
PSO,PSO
SID,SID
SON,SON
QTWO.K,QTWO
GMED.K,GMED
ORI,ORI
INGR.K,INGR
JEF,JEF
THO,THO
OSK,OSK
EBS,EBS
NOMD.K,NOMD
KT,KT
JBL,JBL
OMF,OMF
USFD.K,USFD
TNET.K,TNET
CHH,CHH
NEP,NEP
BHVN.K,BHVN
HUYA.K,HUYA
MDU,MDU
STAG.K,STAG
ICL,ICL
MSP,MSP
YETI.K,YETI
CAE,CAE
JHG,JHG
LPL,LPL
BAC_pl,BAC$L
PSTG.K,PSTG
AIV,AIV
BBU,BBU
DXC,DXC
TPX,TPX
IDA,IDA
ENIC.K,ENIC
PSTH.K,PSTH
WMS,WMS
CLR,CLR
KIM,KIM
ALK,ALK
HLI,HLI
WH,WH
ORCC.K,ORCC
TFII.K,TFII
ESNT.K,ESNT
GGB,GGB
PRI,PRI
SQM,SQM
PFGC.K,PFGC
MDLA.K,MDLA
PAA,PAA
SAIC.K,SAIC
GIL,GIL
NAV,NAV
TKR,TKR
CVE,CVE
FOUR.K,FOUR
CFR,CFR
RAMP.K,RAMP
TKC,TKC
PVH,PVH
ASH,ASH
NCLH.K,NCLH
PAG,PAG
ENV,ENV
PE,PE
ALSN.K,ALSN
SPCE.K,SPCE
DEI,DEI
KMPR.K,KMPR
SNDR.K,SNDR
QTS,QTS
PAC,PAC
SF,SF
SAIL.K,SAIL
EQT,EQT
FCN,FCN
MMS,MMS
PNM,PNM
NEA,NEA
STWD.K,STWD
STZb,STZ.B
RLI,RLI
TRNO.K,TRNO
NVST.K,NVST
WAL,WAL
MAN,MAN
ARD,ARD
RBC,RBC
VAC,VAC
VNT,VNT
SSD,SSD
FL,FL
TX,TX
LAZ,LAZ
HR,HR
AXS,AXS
FLS,FLS
NYCB.K,NYCB
TV,TV
MSM,MSM
PFSI.K,PFSI
WTS,WTS
CCJ,CCJ
RXN,RXN
NEWR.K,NEWR
AAN,AAN
OGS,OGS
EVR,EVR
XRX,XRX
BKH,BKH
CUZ,CUZ
TRGP.K,TRGP
NEU,NEU
ASAN.K,ASAN
SWX,SWX
GOOS.K,GOOS
CRI,CRI
NFG,NFG
GPK,GPK
WES,WES
SNV,SNV
DAVA.K,DAVA
HE,HE
POR,POR
SHLX.K,SHLX
SAFE.K,SAFE
THG,THG
MUSA.K,MUSA
SWCH.K,SWCH
RYN,RYN
CWEN.K,CWEN
EME,EME
ORA,ORA
ASR,ASR
DOC,DOC
TPL,TPL
CW,CW
BYD,BYD
MTZ,MTZ
ADC,ADC
ASGN.K,ASGN
EXP,EXP
CNNE.K,CNNE
MTH,MTH
VVV,VVV
AMG,AMG
SOGO.K,SOGO
MSGS.K,MSGS
JBGS.K,JBGS
HHC,HHC
AYI,AYI
CFX,CFX
KSS,KSS
KWR,KWR
UNM,UNM
NVG,NVG
HRB,HRB
AER,AER
CZZ,CZZ
GTES.K,GTES
RDN,RDN
MTG,MTG
CC,CC
STN,STN
SSL,SSL
INSP.K,INSP
HASI.K,HASI
BRX,BRX
BVN,BVN
ETRN.K,ETRN
CPRI.K,CPRI
KBR,KBR
CLF,CLF
GRP_u,GRP.U
AGI,AGI
EQC,EQC
APAM.K,APAM
PRLB.K,PRLB
LPX,LPX
UNF,UNF
UGP,UGP
AL,AL
SRC,SRC
NOV,NOV
DVN,DVN
HIW,HIW
HYLN.K,HYLN
NRZ,NRZ
KBH,KBH
BXMT.K,BXMT
TMHC.K,TMHC
SLG,SLG
PSN,PSN
PSB,PSB
NAD,NAD
MFG,MFG
MRO,MRO
VVNT.K,VVNT
AMN,AMN
CBU,CBU
DNP,DNP
CLDR.K,CLDR
VMI,VMI
NVT,NVT
KCAC_u.K,KCAC.U
HPP,HPP
CLH,CLH
UAA,UAA
NSP,NSP
GDOT.K,GDOT
ENS,ENS
BIOb,BIO.B
WNS,WNS
CR,CR
CBD,CBD
HMY,HMY
AM,AM
SLQT.K,SLQT
DAO,DAO
SEM,SEM
MDC,MDC
IBP,IBP
WWE,WWE
SR,SR
AB,AB
LSPD.K,LSPD
UNVR.K,UNVR
AWI,AWI
PRSP.K,PRSP
CIB,CIB
ESI,ESI
WTM,WTM
GRA,GRA
AWR,AWR
HFC,HFC
AVNT.K,AVNT
LMND.K,LMND
NJR,NJR
AQUA.K,AQUA
LXP,LXP
WBS,WBS
PCI,PCI
SXT,SXT
LCII.K,LCII
ADSW.K,ADSW
CIT,CIT
WYND.K,WYND
ALE,ALE
ALLY_pa.K,ALLY$A
UA,UA
BMEZ.K,BMEZ
JBT,JBT
ENR,ENR
CNS,CNS
R,R
JKS,JKS
HXL,HXL
IIPR.K,IIPR
THC,THC
NUS,NUS
TGNA.K,TGNA
DHR_pa,DHR$A
AJRD.K,AJRD
WK,WK
SCL,SCL
WOR,WOR
OLN,OLN
OSB,OSB
DCP,DCP
BNL,BNL
CCIV_u.K,CCIV.U
BB,BB
KMT,KMT
SHAK.K,SHAK
GOLF.K,GOLF
TRTN.K,TRTN
SSTK.K,SSTK
PJT,PJT
PING.K,PING
NCR,NCR
BOX,BOX
BIPC.K,BIPC
CCIV.K,CCIV
GKOS.K,GKOS
DQ,DQ
FSKR.K,FSKR
NEE_pp,NEE$P
CWH,CWH
SPB,SPB
CNO,CNO
OFC,OFC
C_pn,C$N
HL,HL
EVTC.K,EVTC
IFS,IFS
STL,STL
USM,USM
NHI,NHI
XEC,XEC
BRFS.K,BRFS
FTI,FTI
CWK,CWK
NNI,NNI
BXS,BXS
BSMX.K,BSMX
APG,APG
CMC,CMC
ABM,ABM
NOVA.K,NOVA
FUL,FUL
NSA,NSA
MC,MC
AIT,AIT
FNB,FNB
BOH,BOH
VSH,VSH
ARNC.K,ARNC
GATX.K,GATX
WPX,WPX
AA,AA
FHI,FHI
CNMD.K,CNMD
AEO,AEO
CWT,CWT
COTY.K,COTY
PD,PD
AVA,AVA
BKU,BKU
PK,PK
NUV,NUV
ZNH,ZNH
OVV,OVV
THS,THS
MCY,MCY
BCO,BCO
FN,FN
ADCT.K,ADCT
TARO.K,TARO
EXG,EXG
NGVT.K,NGVT
LENb,LEN.B
WWW,WWW
MIC,MIC
MANU.K,MANU
MATX.K,MATX
DOOR.K,DOOR
AG,AG
APLE.K,APLE
KEX,KEX
HI,HI
CNX,CNX
ACA,ACA
ESE,ESE
PVG,PVG
TPH,TPH
BMI,BMI
AEL,AEL
CCU,CCU
NAC,NAC
TRN,TRN
JELD.K,JELD
RHP,RHP
ATCO.K,ATCO
CBT,CBT
CPA,CPA
UTF,UTF
ADNT.K,ADNT
ADS,ADS
EGO,EGO
NZF,NZF
CEA,CEA
ASB,ASB
DHR_pb,DHR$B
DAN,DAN
DY,DY
TCP,TCP
X,X
BIG,BIG
ABG,ABG
CWENa.K,CWEN.A
JPM_pc,JPM$C
SUN,SUN
AGO,AGO
PRMW.K,PRMW
BSTZ.K,BSTZ
TCO,TCO
RRC,RRC
TDC,TDC
YEXT.K,YEXT
WCC,WCC
CMP,CMP
ITGR.K,ITGR
BRC,BRC
BCAT.K,BCAT
GPI,GPI
NEE_pq,NEE$Q
KOF,KOF
WRI,WRI
CIG,CIG
SPXC.K,SPXC
ENBL.K,ENBL
CMD,CMD
SJI,SJI
BUR,BUR
JWN,JWN
CIM,CIM
BE,BE
OUT,OUT
HTH,HTH
SPR,SPR
EAT,EAT
IBA,IBA
FIT,FIT
M,M
ROG,ROG
RF_pa,RF$A
MAX,MAX
KW,KW
MXL,MXL
MOGa,MOG.A
MAIN.K,MAIN
JPM_pd,JPM$D
GNW,GNW
SUM,SUM
WD,WD
OR,OR
MTX,MTX
OMI,OMI
MTOR.K,MTOR
B,B
ZYME.K,ZYME
HNP,HNP
