PSA_pn,PSA$N
CC,CC
ADNT.K,ADNT
AUY,AUY
HR,HR
TGNA.K,TGNA
JBGS.K,JBGS
ENS,ENS
JMIA.K,JMIA
KWR,KWR
PSB,PSB
RSI,RSI
POR,POR
DAO,DAO
HPP,HPP
ATC,ATC
CBU,CBU
REZI.K,REZI
MSP,MSP
MPLN.K,MPLN
FNB,FNB
PNM,PNM
BKH,BKH
AM,AM
NOVA.K,NOVA
KBH,KBH
SIX,SIX
OGS,OGS
BCO,BCO
WTS,WTS
MDC,MDC
QTS,QTS
KEX,KEX
APAM.K,APAM
GKOS.K,GKOS
R,R
NJR,NJR
TRNO.K,TRNO
SAFE.K,SAFE
CLDR.K,CLDR
GRA,GRA
CRI,CRI
DNMR.K,DNMR
SR,SR
HAYW.K,HAYW
YALA.K,YALA
TRTN.K,TRTN
NEWR.K,NEWR
CIB,CIB
AB,AB
DOC,DOC
SWX,SWX
PSN,PSN
CPA,CPA
TMHC.K,TMHC
SEAS.K,SEAS
CUK,CUK
IGT,IGT
CWK,CWK
DAN,DAN
WNS,WNS
GRP_u,GRP.U
ENV,ENV
RVLV.K,RVLV
UGP,UGP
HI,HI
APG,APG
SWCH.K,SWCH
CNNE.K,CNNE
HRB,HRB
AG,AG
BOH,BOH
RAMP.K,RAMP
MAX,MAX
FTI,FTI
ALE,ALE
WOR,WOR
SAVE.K,SAVE
DDD,DDD
SI,SI
ABG,ABG
ROG,ROG
EPR,EPR
AJRD.K,AJRD
CWH,CWH
WTM,WTM
CNMD.K,CNMD
LCII.K,LCII
SPB,SPB
MC,MC
PRLB.K,PRLB
EGHT.K,EGHT
MUSA.K,MUSA
VSH,VSH
UNVR.K,UNVR
BRFS.K,BRFS
BXS,BXS
AMN,AMN
IFS,IFS
ATCO.K,ATCO
NVG,NVG
HL,HL
ETRN.K,ETRN
CWEN.K,CWEN
AIT,AIT
WRI,WRI
EQC,EQC
BOX,BOX
ASB,ASB
CNO,CNO
ABM,ABM
FN,FN
APLE.K,APLE
GATX.K,GATX
EAT,EAT
WD,WD
KMT,KMT
NHI,NHI
OUT,OUT
KFY,KFY
CMC,CMC
SXT,SXT
CCU,CCU
HP,HP
ASAI.K,ASAI
IBP,IBP
MTH,MTH
ZNH,ZNH
NSP,NSP
HGV,HGV
NGVT.K,NGVT
ATKR.K,ATKR
WWW,WWW
FSKR.K,FSKR
PD,PD
AGO,AGO
SSTK.K,SSTK
PEB,PEB
ENR,ENR
MCY,MCY
CMD,CMD
PRG,PRG
PCI,PCI
SUM,SUM
CNX,CNX
CNS,CNS
CLNY.K,CLNY
MATX.K,MATX
BIPC.K,BIPC
TEX,TEX
BFLY.K,BFLY
TRQ,TRQ
VVNT.K,VVNT
ONTO.K,ONTO
AVA,AVA
AQUA.K,AQUA
RAAS.K,RAAS
LXP,LXP
FUL,FUL
CIXX.K,CIXX
EAF,EAF
SOGO.K,SOGO
USM,USM
NAD,NAD
TRN,TRN
FLR,FLR
OFC,OFC
GOLF.K,GOLF
YELP.K,YELP
ACA,ACA
SIG,SIG
ARNC.K,ARNC
VNE,VNE
AGI,AGI
DNP,DNP
HTH,HTH
MANU.K,MANU
AX,AX
NUVB.K,NUVB
FHI,FHI
BIOb,BIO.B
BFT,BFT
BMEZ.K,BMEZ
ITGR.K,ITGR
GPI,GPI
HRI,HRI
MGY,MGY
THS,THS
ENBL.K,ENBL
GHC,GHC
AEL,AEL
TARO.K,TARO
AR,AR
CBT,CBT
CALX.K,CALX
DY,DY
HIMS.K,HIMS
CIM,CIM
MED,MED
MTDR.K,MTDR
KW,KW
NSA,NSA
KTB,KTB
SWN,SWN
BMI,BMI
FUN,FUN
CNK,CNK
NNI,NNI
ZIM,ZIM
SCL,SCL
CTB,CTB
DOOR.K,DOOR
ESE,ESE
BRC,BRC
JELD.K,JELD
MXL,MXL
BFT_u,BFT.U
WGO,WGO
SHO,SHO
SITC.K,SITC
FLOW.K,FLOW
B,B
JOE,JOE
MUR,MUR
EXG,EXG
SJI,SJI
ALLY_pa.K,ALLY$A
MIC,MIC
ELY,ELY
NOAH.K,NOAH
